gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
RIMS1	17	8	6	8	22	2	3	7	8	1	3	225	257	4	15
NRXN1	5	5	6	4	33	2	0	0	0	0	0	264	300	0	1
LOC101100989	2681	2031	3197	1930	643	2370	295	161	157	408	544	201	144	102	115
LOC101093772	661	494	692	567	171	506	139	36	25	85	99	73	37	12	10
LOC101083514	520	461	614	479	137	457	120	64	53	33	45	144	83	45	40
LOC101086477	255	265	355	223	53	232	55	49	32	102	120	148	87	11	27
LOC101092267	1706	1249	1828	1198	380	1085	680	1024	971	903	1052	60	33	939	1134
LOC101098354	336	326	276	186	68	282	57	45	36	86	87	38	36	29	34
LOC101088237	124	111	156	101	32	116	69	26	24	44	54	180	91	16	31
LOC101094019	184	197	182	153	63	188	80	54	53	62	101	15	19	36	52
LOC101098601	139	105	132	68	27	103	150	126	88	178	215	89	85	55	87
LOC101092025	1264	865	1061	740	260	718	407	519	475	1043	1308	121	79	571	708
LOC101085717	64	69	90	78	19	67	21	4	0	7	13	40	20	2	3
LOC101096808	3	3	5	3	2	2	2	4	3	0	0	59	42	1	1
LOC101095750	133	135	173	88	59	122	79	47	37	83	80	40	32	55	52
LOC101096200	0	0	0	1	3	0	4	8	6	10	15	41	52	6	6
LOC109500934	0	2	1	1	4	0	56	28	19	94	146	24	42	67	65
ABI1	4867	5057	5123	2388	925	3983	3163	3037	2502	3202	4040	211	155	2034	2433
R3HDM2	1495	1310	1219	1084	395	784	1233	1216	948	1243	1308	561	505	604	766
MBD1	2675	2203	2302	1104	427	1745	1568	1380	1199	1604	1853	447	337	905	1059
ARNTL	543	347	481	258	112	284	566	593	473	576	770	205	242	365	431
PAK3	7	2	12	3	23	0	444	504	443	572	830	253	282	217	259
STRADA	2222	2413	2396	1371	631	2161	420	547	511	474	585	148	165	329	395
SLC4A7	8527	7090	7108	4655	1542	4983	2181	1925	1539	1721	2324	319	281	1218	1646
TPM1	26182	21967	39778	19953	6703	20819	51948	70210	56274	91571	114872	110	138	90449	116105
LOC105260538	165	169	204	134	25	150	126	15	20	125	142	17	27	7	8
LOC101089767	156	73	185	90	27	86	131	137	123	173	214	102	59	65	84
PCBP3	23	15	16	13	15	10	46	21	22	43	80	114	92	25	15
MCTP1	6054	5221	7239	4576	2115	4919	1528	2433	1955	1915	2690	169	253	1693	1793
LOC111560610	20	34	0	18	4	0	65	115	84	129	154	2	2	59	79
TUBB	4407	4257	4096	2595	939	3379	17230	13554	11370	23255	30322	741	423	14973	17255
RNH1	1624	1196	1547	638	297	1043	3939	3923	3880	5157	5408	118	62	3434	3694
ELMO1	1927	1140	1496	1727	630	1177	179	469	393	237	350	489	523	114	137
